,cs_id_100,100,cs_id_200,200,cs_id_300,300,cs_id_358,358,cs_id_966,966,cluster_size
0,ENSG00000162441_L1_100,11,ENSG00000162441_L1_200,5,ENSG00000162441_L1_300,4,ENSG00000162441_L1_358,4,ENSG00000162441_L1_966,3,5.0
1,ENSG00000231671_L1_100,1,ENSG00000231671_L1_200,1,ENSG00000231671_L1_300,1,ENSG00000231671_L1_358,1,ENSG00000231671_L1_966,1,5.0
2,ENSG00000181754_L1_100,1,ENSG00000181754_L1_200,11,ENSG00000181754_L1_300,1,ENSG00000181754_L1_358,1,ENSG00000181754_L1_966,9,5.0
3,ENSG00000168765_L1_100,3,ENSG00000168765_L1_200,3,ENSG00000168765_L1_300,2,ENSG00000168765_L1_358,1,ENSG00000168765_L1_966,1,5.0
4,ENSG00000134184_L1_100,1,ENSG00000134184_L1_200,1,ENSG00000134184_L1_300,1,ENSG00000134184_L1_358,1,ENSG00000134184_L1_966,1,5.0
5,ENSG00000134202_L1_100,9,ENSG00000134202_L1_200,8,ENSG00000134202_L1_300,6,ENSG00000134202_L1_358,6,ENSG00000134202_L1_966,4,5.0
6,ENSG00000064886_L1_100,1,ENSG00000064886_L1_200,1,ENSG00000064886_L1_300,1,ENSG00000064886_L1_358,1,ENSG00000064886_L1_966,1,5.0
7,ENSG00000134216_L1_100,54,ENSG00000134216_L1_200,27,ENSG00000134216_L1_300,26,ENSG00000134216_L1_358,26,ENSG00000134216_L1_966,26,5.0
8,ENSG00000143079_L1_100,106,ENSG00000143079_L1_200,103,ENSG00000143079_L1_300,104,ENSG00000143079_L1_358,101,ENSG00000143079_L1_966,68,5.0
9,ENSG00000007341_L1_100,49,ENSG00000007341_L1_200,5,ENSG00000007341_L1_300,8,ENSG00000007341_L1_358,2,ENSG00000007341_L1_966,19,5.0
10,ENSG00000177000_L1_100,133,ENSG00000177000_L1_200,109,ENSG00000177000_L1_300,97,ENSG00000177000_L1_358,106,ENSG00000177000_L1_966,92,5.0
11,ENSG00000171943_L1_100,61,ENSG00000171943_L1_200,69,ENSG00000171943_L1_300,53,ENSG00000171943_L1_358,26,ENSG00000171943_L1_966,4,5.0
12,ENSG00000273136_L1_100,17,ENSG00000273136_L1_200,38,ENSG00000273136_L1_300,44,ENSG00000273136_L1_358,33,ENSG00000273136_L1_966,45,5.0
13,ENSG00000163131_L1_100,217,ENSG00000163131_L1_200,113,ENSG00000163131_L1_300,74,ENSG00000163131_L1_358,71,ENSG00000163131_L1_966,10,5.0
14,ENSG00000143387_L1_100,17,ENSG00000143387_L1_200,16,ENSG00000143387_L1_300,16,ENSG00000143387_L1_358,15,ENSG00000143387_L1_966,13,5.0
15,ENSG00000159445_L1_100,12,ENSG00000159445_L1_200,14,ENSG00000159445_L1_300,12,ENSG00000159445_L1_358,13,ENSG00000159445_L1_966,7,5.0
16,ENSG00000189171_L1_100,53,ENSG00000189171_L1_200,19,ENSG00000189171_L1_300,6,ENSG00000189171_L1_358,2,ENSG00000189171_L1_966,2,5.0
17,ENSG00000284738_L1_100,88,ENSG00000284738_L1_200,81,ENSG00000284738_L1_300,59,ENSG00000284738_L1_358,32,ENSG00000284738_L1_966,63,5.0
18,ENSG00000143537_L1_100,2,ENSG00000143537_L1_200,2,ENSG00000143537_L1_300,2,ENSG00000143537_L1_358,2,ENSG00000143537_L1_966,2,5.0
19,ENSG00000215845_L1_100,1,ENSG00000215845_L1_200,1,ENSG00000215845_L1_300,1,ENSG00000215845_L1_358,1,ENSG00000215845_L1_966,1,5.0
20,ENSG00000132185_L1_100,4,ENSG00000132185_L1_200,4,ENSG00000132185_L1_300,3,ENSG00000132185_L1_358,3,ENSG00000132185_L1_966,3,5.0
21,ENSG00000142632_L1_100,6,ENSG00000142632_L1_200,6,ENSG00000142632_L1_300,6,ENSG00000142632_L1_358,6,ENSG00000142632_L1_966,2,5.0
22,ENSG00000143198_L1_100,8,ENSG00000143198_L1_200,6,ENSG00000143198_L1_300,7,ENSG00000143198_L1_358,7,ENSG00000143198_L1_966,7,5.0
23,ENSG00000143156_L1_100,37,ENSG00000143156_L1_200,34,ENSG00000143156_L1_300,33,ENSG00000143156_L1_358,33,ENSG00000143156_L1_966,23,5.0
24,ENSG00000171806_L1_100,125,ENSG00000171806_L1_200,116,ENSG00000171806_L1_300,109,ENSG00000171806_L1_358,107,ENSG00000171806_L1_966,76,5.0
25,ENSG00000117115_L1_100,40,ENSG00000117115_L1_200,40,ENSG00000117115_L1_300,41,ENSG00000117115_L1_358,40,ENSG00000117115_L1_966,30,5.0
26,ENSG00000116260_L1_100,28,,,ENSG00000116260_L1_300,21,ENSG00000116260_L1_358,19,ENSG00000116260_L1_966,17,4.0
27,ENSG00000058085_L1_100,23,ENSG00000058085_L1_200,1,ENSG00000058085_L1_300,1,ENSG00000058085_L1_358,1,ENSG00000058085_L1_966,1,5.0
28,ENSG00000135842_L1_100,11,,,,,ENSG00000135842_L1_358,11,ENSG00000135842_L1_966,9,3.0
29,ENSG00000116741_L1_100,24,,,ENSG00000116741_L1_300,31,ENSG00000116741_L1_358,25,ENSG00000116741_L1_966,21,4.0
30,ENSG00000118197_L1_100,36,,,,,,,,,1.0
31,ENSG00000260088_L1_100,36,ENSG00000260088_L1_200,33,ENSG00000260088_L1_300,32,ENSG00000260088_L1_358,32,ENSG00000260088_L1_966,34,5.0
32,ENSG00000133048_L1_100,4,,,,,,,,,1.0
33,ENSG00000090432_L1_100,1,,,ENSG00000090432_L1_300,1,ENSG00000090432_L1_358,1,ENSG00000090432_L1_966,1,4.0
34,ENSG00000158825_L1_100,7,ENSG00000158825_L1_200,5,ENSG00000158825_L1_300,6,ENSG00000158825_L1_358,7,ENSG00000158825_L1_966,7,5.0
35,ENSG00000117595_L1_100,14,ENSG00000117595_L1_200,20,ENSG00000117595_L1_300,34,ENSG00000117595_L1_358,32,ENSG00000117595_L1_966,4,5.0
36,ENSG00000153363_L1_100,1,ENSG00000153363_L1_200,1,ENSG00000153363_L1_300,1,ENSG00000153363_L1_358,1,ENSG00000153363_L1_966,1,5.0
37,ENSG00000162769_L1_100,99,ENSG00000162769_L1_200,68,ENSG00000162769_L1_300,67,ENSG00000162769_L1_358,67,ENSG00000162769_L1_966,59,5.0
38,ENSG00000198468_L1_100,29,ENSG00000198468_L1_200,29,ENSG00000198468_L1_300,28,ENSG00000198468_L1_358,28,ENSG00000198468_L1_966,12,5.0
39,ENSG00000142794_L1_100,4,ENSG00000142794_L1_200,3,ENSG00000142794_L1_300,2,ENSG00000142794_L1_358,3,ENSG00000142794_L1_966,3,5.0
